,Alternative,Foreign Equity,Foreign Fixed Income,Global Equity,Multi-Class,US Equity,US Fixed Income,chosen_class
EZA,2.5329637841120163,3.8555694476234295,0.0,6.526955866909233,2.0135831011736,1.8414607957918656,0.0,Global Equity
EZU,11.857465812808153,40.819993587936594,0.0,12.558488784221026,4.601237050788641,0.0,0.0,Foreign Equity
FDL,0.0,0.0,0.0,0.0,0.0,43.864296076126884,0.0,US Equity
FDN,6.205726590953654,0.0,0.0,0.0,2.598246390427563,14.352199088680884,0.0,US Equity
FEM,0.0,12.907976840521815,0.0,2.544767747505464,4.828762597450342,0.0,0.0,Foreign Equity
FINUX,0.7389254314959312,0.0,2.5393898744137444,0.0,0.0,0.0,1.186060877279838,Foreign Fixed Income
FNMIX,0.36530985125501403,1.0334303698169385,1.4606671226587995,0.0,0.0,0.0,0.0,Foreign Fixed Income
FRI,77.39454574551871,0.0,0.0,0.0,1.5457560550142813,7.853356949609362,0.0,Alternative
FVD,0.0,0.0,0.0,0.0,0.0,71.38069810792427,0.0,US Equity
FXD,3.699339822765725,0.0,0.0,1.8474889530902572,1.731094505109956,21.706197031630623,0.0,US Equity
FXE,1.2030971123456193,2.727079817645878,0.7811560935789122,0.0,0.0,0.0,0.0,Foreign Equity
FXG,3.480358667430541,0.0,0.0,0.0,0.0,12.850137471070576,0.0,US Equity
FXH,1.738334865200093,0.0,0.0,1.4343596771405664,0.0,15.852122138384667,0.0,US Equity
FXI,1.8795202045387438,12.997374361893328,0.0,2.423367211299651,1.6677146366724145,0.0,0.0,Foreign Equity
FXY,0.0,0.21096285828485345,0.23188466196814328,0.0,0.0,0.6318030418920846,0.9562300314276997,US Fixed Income
GAL,1.2017463175448317,1.1493791916155762,0.0,2.5685034715038766,4.085293182496995,1.1737736557398162,0.0,Multi-Class
GCC,8.359601002760574,0.0,0.0,0.7117257900965211,0.0,1.2184199606069166,0.0,Alternative
GDXJ,3.131454190597275,0.0,0.0,6.542417829693451,0.0,0.8294067951657514,0.0,Global Equity
