,actual,ln_chg,nrmd_p
IYJ,US Equity,US Equity,US Equity
IYM,US Equity,US Equity,Foreign Equity
IYR,Alternative,Alternative,Alternative
IYT,US Equity,US Equity,US Equity
IYW,US Equity,US Equity,Multi-Class
IYZ,US Equity,US Equity,Multi-Class
JNK,US Fixed Income,Foreign Equity,US Fixed Income
KBE,US Equity,US Equity,US Equity
KBWB,US Equity,US Equity,US Equity
KIE,US Equity,US Equity,US Equity
KOL,Global Equity,US Equity,US Equity
KRE,US Equity,US Equity,US Equity
MBB,US Fixed Income,US Fixed Income,US Fixed Income
MCHI,Foreign Equity,Foreign Equity,Foreign Equity
MDIV,Multi-Class,US Equity,Alternative
MDY,US Equity,US Equity,US Equity
MINT,US Fixed Income,US Fixed Income,US Fixed Income
MLPI,Alternative,Alternative,US Equity
MLPN,Alternative,Alternative,US Equity
MOO,Global Equity,US Equity,Foreign Equity
MUB,US Fixed Income,US Fixed Income,US Fixed Income
NKY,Foreign Equity,Foreign Equity,Foreign Equity
OEF,US Equity,US Equity,US Equity
OIH,US Equity,US Equity,Foreign Equity
OIL,Alternative,Alternative,Alternative
PALL,Alternative,Alternative,US Equity
PBJ,US Equity,US Equity,US Equity
PBP,US Equity,US Equity,Multi-Class
PBS,US Equity,US Equity,US Equity
PBW,US Equity,US Equity,Alternative
PCEF,Alternative,US Equity,Alternative
PCY,Foreign Fixed Income,Foreign Fixed Income,US Fixed Income
PDP,US Equity,US Equity,Multi-Class
PEY,US Equity,US Equity,US Equity
PFF,Alternative,Alternative,Alternative
PGF,Alternative,Alternative,Alternative
PGX,Alternative,Alternative,Alternative
PHB,US Fixed Income,US Fixed Income,Multi-Class
PHO,US Equity,US Equity,Multi-Class
PID,Foreign Equity,Foreign Equity,Multi-Class
PIE,Foreign Equity,Foreign Equity,Foreign Equity
PIN,Foreign Equity,Foreign Equity,Foreign Equity
PIZ,Foreign Equity,Foreign Equity,Foreign Equity
PJP,US Equity,US Equity,US Equity
PKW,US Equity,US Equity,US Equity
PPH,US Equity,US Equity,US Equity
PRF,US Equity,US Equity,US Equity
PSP,Global Equity,US Equity,US Equity
PSQ,Alternative,US Equity,US Fixed Income
PWV,US Equity,US Equity,US Equity
PXH,Foreign Equity,Foreign Equity,Foreign Equity
PZA,US Fixed Income,US Fixed Income,US Fixed Income
QQQ,US Equity,US Equity,Multi-Class
REM,Alternative,US Equity,Multi-Class
RJA,Alternative,Alternative,Alternative
RJI,Alternative,Alternative,Alternative
RLY,Multi-Class,Global Equity,Foreign Equity
RSP,US Equity,US Equity,US Equity
RSX,Foreign Equity,Foreign Equity,Alternative
RWM,Alternative,US Equity,Alternative
RWO,Global Equity,US Equity,Alternative
RWR,Alternative,Alternative,Alternative
RWX,Foreign Equity,Foreign Equity,Multi-Class
SBB,Alternative,US Equity,US Equity
SCHA,US Equity,US Equity,US Equity
SCHB,US Equity,US Equity,US Equity
SCHD,US Equity,US Equity,US Equity
SCHE,Foreign Equity,Foreign Equity,Foreign Equity
SCHF,Foreign Equity,Foreign Equity,Foreign Equity
SCHG,US Equity,US Equity,US Equity
SCHH,Alternative,Alternative,Alternative
SCHM,US Equity,US Equity,US Equity
SCHV,US Equity,US Equity,US Equity
SCHX,US Equity,US Equity,US Equity
SCIF,Foreign Equity,Foreign Equity,Foreign Equity
SCZ,Foreign Equity,Foreign Equity,Foreign Equity
SDIV,Global Equity,Foreign Equity,Foreign Equity
SDOG,US Equity,US Equity,US Equity
SDY,US Equity,US Equity,US Equity
SGOL,Alternative,Alternative,Alternative
SH,Alternative,US Equity,US Equity
SHM,US Fixed Income,US Fixed Income,US Fixed Income
SHV,US Fixed Income,US Fixed Income,Multi-Class
SHY,US Fixed Income,US Fixed Income,US Fixed Income
SIL,Global Equity,Alternative,Alternative
SIVR,Alternative,Alternative,US Equity
SJNK,US Fixed Income,US Fixed Income,US Fixed Income
SLV,Alternative,Alternative,US Equity
SMH,US Equity,US Equity,Multi-Class
SOXX,US Equity,US Equity,Foreign Equity
SPHB,US Equity,US Equity,Foreign Equity
SPLV,US Equity,US Equity,US Equity
SPY,US Equity,US Equity,US Equity
STPZ,US Fixed Income,US Fixed Income,US Fixed Income
SVXY,Alternative,Alternative,Multi-Class
TAN,US Equity,US Equity,Alternative
TBF,Alternative,US Fixed Income,US Fixed Income
TDTT,US Fixed Income,US Fixed Income,US Fixed Income
TFI,US Fixed Income,US Fixed Income,US Fixed Income
THD,Foreign Equity,Foreign Equity,Foreign Fixed Income
TIP,US Fixed Income,US Fixed Income,US Fixed Income
TLT,US Fixed Income,US Fixed Income,US Fixed Income
TUR,Foreign Equity,Foreign Equity,Foreign Equity
TZD,Multi-Class,Multi-Class,Multi-Class
TZE,Multi-Class,Foreign Equity,Multi-Class
TZO,Multi-Class,Multi-Class,US Equity
TZV,Multi-Class,US Equity,US Equity
UNG,Alternative,Alternative,US Fixed Income
USMV,US Equity,US Equity,US Equity
USO,Alternative,Alternative,Alternative
UUP,Alternative,Foreign Equity,Foreign Fixed Income
VB,US Equity,US Equity,US Equity
VBK,US Equity,US Equity,US Equity
VBR,US Equity,US Equity,US Equity
VDC,US Equity,US Equity,US Equity
VEA,Foreign Equity,Foreign Equity,Foreign Equity
VEU,Foreign Equity,Foreign Equity,Foreign Equity
VFH,US Equity,US Equity,US Equity
VGK,Foreign Equity,Foreign Equity,Foreign Equity
VGT,US Equity,US Equity,Multi-Class
VHT,US Equity,US Equity,US Equity
VIG,US Equity,US Equity,US Equity
VIIX,Alternative,Alternative,Alternative
VIXY,Alternative,Alternative,Alternative
VNM,Foreign Equity,Foreign Equity,US Fixed Income
VNQ,Alternative,Alternative,Alternative
VNQI,Foreign Equity,Foreign Equity,Foreign Equity
VO,US Equity,US Equity,US Equity
VOE,US Equity,US Equity,US Equity
VOO,US Equity,US Equity,US Equity
VPL,Foreign Equity,Foreign Equity,Foreign Equity
VPU,US Equity,US Equity,US Equity
VT,Global Equity,US Equity,Foreign Equity
VTI,US Equity,US Equity,US Equity
VTIP,US Fixed Income,US Fixed Income,US Fixed Income
VTV,US Equity,US Equity,US Equity
VUG,US Equity,US Equity,US Equity
VV,US Equity,US Equity,US Equity
VWO,Foreign Equity,Foreign Equity,Foreign Equity
VXF,US Equity,US Equity,US Equity
VXUS,Foreign Equity,Foreign Equity,Foreign Equity
VXX,Alternative,Alternative,Alternative
VXZ,Alternative,Alternative,US Equity
VYM,US Equity,US Equity,US Equity
WIP,Foreign Fixed Income,Foreign Fixed Income,Foreign Equity
XBI,US Equity,US Equity,US Equity
XES,US Equity,US Equity,US Equity
XHB,US Equity,US Equity,US Equity
XIV,Alternative,Alternative,Foreign Equity
XLB,US Equity,US Equity,Global Equity
XLE,US Equity,US Equity,US Equity
XLF,US Equity,US Equity,US Equity
XLI,US Equity,US Equity,US Equity
XLK,US Equity,US Equity,Multi-Class
XLP,US Equity,US Equity,US Equity
XLU,US Equity,US Equity,US Equity
XLV,US Equity,US Equity,US Equity
XLY,US Equity,US Equity,US Equity
XME,US Equity,US Equity,Alternative
XOP,US Equity,US Equity,Multi-Class
XRT,US Equity,US Equity,Multi-Class
YMLP,Alternative,Alternative,US Equity
ZIV,Alternative,Alternative,US Equity
