,Alternative,Foreign Equity,Foreign Fixed Income,Global Equity,Multi-Class,US Equity,US Fixed Income,chosen_class
DBV,3.534921211373848,5.15544061417766,0.0,4.957057533603114,0.0,0.0,0.0,Foreign Equity
DEM,2.2123308870026315,6.645075359915113,0.0,4.487300000550132,2.2318339702480485,2.196279489669933,0.0,Foreign Equity
DFJ,1.7540265989985193,1.7059301745914155,0.0,4.859216788730258,0.0,4.538907318794946,0.0,Global Equity
DGS,0.0,6.279542830870815,0.0,2.110930208253206,2.063677326466674,6.176548258027953,0.0,Foreign Equity
DIA,0.0,0.0,0.0,2.4083538593871254,0.0,17.58023704371095,0.0,US Equity
DLN,0.0,0.0,0.0,0.0,2.4966301500798265,18.051383337836,0.0,US Equity
DODWX,0.0,2.4717505273305074,0.0,5.093218386262135,2.499226934852338,9.945379692394575,0.0,US Equity
DOG,0.0,0.0,0.0,0.0,2.4907547989144883,17.76438044106553,0.0,US Equity
DVY,0.0,0.0,0.0,0.0,0.0,19.53669368134594,0.0,US Equity
DWX,0.0,11.169359224203085,0.0,4.43950166769421,0.0,2.211287555608248,0.0,Foreign Equity
DXJ,1.7739682399825405,1.6413399104114315,0.0,5.069483242966278,3.3473455119832485,1.621804659390621,0.0,Global Equity
EAAFX,2.145805020710056,0.0,0.0,4.282918480858065,6.556141570745162,4.1650439291404755,0.0,Multi-Class
EBND,3.0605588830873858,5.775720570356547,3.3230431995667096,0.0,0.0,0.0,0.0,Foreign Equity
ECON,2.0314183524886222,8.639664425368588,0.0,2.154661109039245,4.190985909898155,0.0,0.0,Foreign Equity
EDIV,0.0,8.720223581567934,0.0,4.187965675446163,4.137663639830613,0.0,0.0,Foreign Equity
EEM,2.266502561846022,4.491034697200089,0.0,4.473471012230856,4.355819863503885,2.1522558153605096,0.0,Foreign Equity
EEMV,0.0,7.530861695186329,0.0,3.7152363813125175,3.6941056342281295,0.0,0.0,Foreign Equity
EFA,2.65526583314162,9.63757133604906,0.0,5.018826596540589,2.3632998189033825,0.0,0.0,Foreign Equity
EFAV,2.1852272187126274,8.225096870745794,0.0,6.158319953946811,0.0,0.0,0.0,Foreign Equity
EFV,2.592335806051059,12.405822975785629,0.0,5.02761427222197,0.0,0.0,0.0,Foreign Equity
EIDO,0.0,7.910119841996093,0.0,1.513361409655877,3.021309357152664,0.0,0.0,Foreign Equity
ELD,3.4746924403358443,6.455698245801182,3.6163209473910163,0.0,0.0,0.0,0.0,Foreign Equity
EMCB,2.3423162591188813,0.0,3.6811695938897087,0.0,2.262467155008064,0.0,1.2159193711221559,Foreign Fixed Income
EPHE,0.0,7.540493618483965,0.0,1.4667231028741088,2.9076210123933786,0.0,0.0,Foreign Equity
EPI,0.0,9.927371235261193,0.0,1.823352950542471,3.5826985618211844,0.0,0.0,Foreign Equity
EPOL,2.028933659226457,10.119340878036008,0.0,4.018981704605684,0.0,0.0,0.0,Foreign Equity
EPU,0.0,4.609794518702618,0.0,3.1698322809667108,1.506551916321877,3.1047832672398443,0.0,Foreign Equity
ERUS,1.8061516873681824,6.288158193222467,0.0,3.684973657292845,3.6197471456385077,0.0,0.0,Foreign Equity
EUM,2.263395891408138,6.807652517545174,0.0,4.497359604578254,2.2044284831297953,2.2071593909034557,0.0,Foreign Equity
EWC,0.0,2.0696255573331936,0.0,4.341349328457637,0.0,10.36534600674368,0.0,US Equity
EWD,2.284461161501916,6.239285507433395,0.0,2.2617285056464227,4.077303423121714,2.0471844469876586,0.0,Foreign Equity
EWI,2.230305671461584,8.553921173571585,0.0,4.188048394761949,2.0643941572174187,0.0,0.0,Foreign Equity
EWJ,2.088605292296865,1.8815974654663865,0.0,5.687939980558771,3.686660909630323,1.7952056225663715,0.0,Global Equity
EWP,2.2042329597722268,8.449430628877803,0.0,4.114314354282605,2.0293765144501412,0.0,0.0,Foreign Equity
EWS,2.01019110154015,1.9153320954284843,0.0,2.0664550029307036,1.920376827223759,7.6155857564883345,0.0,US Equity
EWU,2.4160495852551356,4.490703152051129,0.0,4.599538782282606,0.0,6.604800155746084,0.0,US Equity
EWW,1.9999589895662986,2.0403948190708157,0.0,4.070996568984261,2.0037292167440093,5.894917297833129,0.0,US Equity
EWY,1.9640501233106467,0.0,0.0,2.0258410483217504,1.8792889294031758,9.288839647331384,0.0,US Equity
EWZ,1.9967863395204302,4.573726757094484,0.0,7.940104405222203,2.0361314476880845,0.0,0.0,Global Equity
